Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OperatorSkillScore,RequiredSkillByRole
41,No,Rarely,1267,Quality Control,43,2,Food Technology,1,16,4,Female,75,3,1,Dairy Lab Technician,3,Single,103785,12401,8,No,19,3,3,2,32,3,2,16,11,11,10,0.5343172131784739,0.55
21,No,Rarely,336,Logistics,25,2,Biotechnology,1,17,3,Female,149,1,1,Cold Storage Supervisor,2,Divorced,29597,10758,7,Yes,23,3,3,1,0,0,4,22,0,2,9,0.8345129923258303,0.4
43,Yes,Rarely,620,Logistics,18,2,Dairy Science,1,18,3,Male,68,2,2,Logistics & Supply Chain Coordinator,1,Divorced,80067,3473,6,No,19,1,2,1,17,1,4,6,6,3,7,0.2015770878290466,0.35
49,No,Rarely,273,Production,13,2,Mechanical Engineering,1,19,4,Female,130,4,2,Cheese Production Technician,4,Married,107520,15281,4,Yes,14,1,1,1,3,3,1,22,13,8,4,0.3866470571296885,0.5
57,No,Non-Travel,1379,Farm Operations,43,1,Logistics,1,20,3,Male,94,1,4,Milk Processing Operator,4,Single,68022,17964,8,No,16,3,1,1,26,5,3,14,17,3,1,0.7599013708036595,0.45
21,No,Rarely,1478,Maintenance,14,4,Mechanical Engineering,1,21,4,Male,75,3,4,Farm Liaison Officer,3,Single,101924,14057,8,No,22,2,4,0,24,0,3,16,0,12,14,0.2069025836751245,0.3
40,No,Non-Travel,370,Logistics,28,2,Dairy Science,1,22,3,Male,71,1,4,Cheese Production Technician,4,Single,38782,9673,9,No,21,1,3,2,27,4,2,11,19,3,15,0.2071214059322047,0.5
52,No,Rarely,369,Farm Operations,18,4,Mechanical Engineering,1,23,3,Male,107,2,1,Maintenance Engineer,1,Divorced,71782,16281,9,No,21,4,1,1,21,4,1,10,9,3,3,0.6275730102660794,0.6
31,No,Rarely,1071,Maintenance,28,2,Food Technology,1,24,3,Male,112,2,4,Milk Processing Operator,2,Single,92144,5251,1,No,22,1,4,0,24,3,1,18,14,6,15,0.7524398297590091,0.45
41,No,Rarely,521,Logistics,27,3,Mechanical Engineering,1,25,2,Male,77,1,1,Milk Processing Operator,3,Divorced,118651,7054,3,No,12,3,1,1,16,0,3,10,10,4,11,0.7435537922266695,0.45
44,Yes,Rarely,655,Maintenance,32,2,Mechanical Engineering,1,26,2,Female,114,4,4,Farm Liaison Officer,4,Single,75013,3716,7,No,15,3,2,0,11,1,3,1,3,11,13,0.7457046145245008,0.3
46,No,Rarely,1143,Farm Operations,47,2,Logistics,1,27,4,Male,93,3,1,Cold Storage Supervisor,3,Single,92036,11204,0,No,21,1,2,1,15,1,2,14,14,1,11,0.452704441372366,0.4
47,No,Non-Travel,989,Quality Control,9,2,Food Technology,1,28,2,Male,149,2,1,Farm Liaison Officer,3,Married,55342,16106,4,No,17,1,2,1,36,0,3,4,15,6,15,0.8179069009921212,0.3
35,No,Frequently,812,Farm Operations,40,1,Food Technology,1,29,4,Male,92,2,2,Logistics & Supply Chain Coordinator,4,Single,105745,3310,7,No,22,4,4,1,15,4,2,17,14,2,15,0.2089849209777158,0.35
34,No,Frequently,1378,Production,32,3,Mechanical Engineering,1,30,1,Female,86,1,3,Packaging Machine Operator,3,Married,40977,19001,1,No,17,4,3,0,16,0,4,28,16,10,11,0.4185321157406103,0.4
22,Yes,Rarely,1088,Maintenance,20,2,Logistics,1,31,1,Female,115,2,1,Milk Processing Operator,4,Married,77396,17882,1,Yes,11,2,2,1,30,4,2,29,10,0,1,0.4360313863847729,0.45
56,No,Rarely,548,Quality Control,28,2,Mechanical Engineering,1,32,2,Male,66,2,4,Maintenance Engineer,1,Divorced,70021,6257,7,No,15,2,2,0,14,4,2,20,17,8,13,0.3158997880736788,0.6
26,No,Rarely,1396,Maintenance,33,4,Mechanical Engineering,1,33,1,Female,89,3,2,Dairy Lab Technician,4,Single,89057,17846,9,No,16,4,1,0,12,5,2,20,15,4,10,0.4353581810944694,0.55
40,No,Frequently,209,Maintenance,4,3,Dairy Science,1,34,1,Male,87,4,4,Milk Processing Operator,2,Single,86836,12420,8,No,21,2,2,2,39,5,4,15,14,9,8,0.6101188910364763,0.45
28,No,Rarely,939,Logistics,46,2,Dairy Science,1,35,3,Female,134,3,4,Farm Liaison Officer,4,Single,47075,15012,6,No,16,2,3,0,26,1,3,3,10,0,6,0.5641955188881678,0.3
58,No,Rarely,1488,Production,34,4,Logistics,1,36,3,Male,110,4,1,Dairy Quality Analyst,2,Married,109515,2468,7,Yes,12,1,4,0,20,3,2,26,12,10,11,0.4235991510091779,0.55
37,No,Frequently,1470,Maintenance,48,4,Biotechnology,1,37,4,Female,58,3,1,Milk Processing Operator,3,Single,50802,7905,4,No,23,4,2,0,1,2,3,22,17,0,16,0.7245292595777189,0.45
23,No,Rarely,866,Farm Operations,3,1,Dairy Science,1,38,1,Female,126,1,3,Milk Processing Operator,4,Divorced,97761,14308,0,No,23,1,4,0,7,0,2,9,7,0,8,0.700353404906465,0.45
44,No,Rarely,745,Farm Operations,26,4,Biotechnology,1,39,4,Female,124,2,1,Maintenance Engineer,2,Divorced,97017,17634,3,No,18,1,4,0,6,4,3,21,8,11,5,0.3964875339563083,0.6
33,No,Rarely,328,Logistics,8,2,Food Technology,1,40,4,Male,110,4,1,Maintenance Engineer,4,Single,106753,16801,1,Yes,11,2,3,2,9,0,2,1,10,8,11,0.4262598749445422,0.6
28,No,Non-Travel,800,Production,6,1,Dairy Science,1,41,1,Male,129,1,3,Milk Processing Operator,4,Married,75822,19523,2,No,20,1,1,1,3,3,3,14,16,12,19,0.4012641390424893,0.45
45,No,Frequently,804,Production,16,1,Dairy Science,1,42,2,Male,65,2,4,Dairy Quality Analyst,4,Divorced,71603,11628,2,No,12,3,1,2,35,3,1,3,0,7,9,0.2901958165578508,0.55
21,No,Rarely,526,Farm Operations,24,2,Logistics,1,43,1,Female,51,2,3,Packaging Machine Operator,1,Divorced,100291,10728,8,Yes,24,2,4,2,34,2,4,28,10,10,8,0.7269471500725984,0.4
39,No,Rarely,1179,Quality Control,48,3,Biotechnology,1,44,3,Female,121,2,3,Dairy Quality Analyst,2,Married,110450,19335,9,Yes,20,3,2,1,2,2,2,15,6,12,11,0.2323935573606743,0.55
47,No,Non-Travel,603,Logistics,39,4,Dairy Science,1,45,1,Male,92,3,3,Dairy Quality Analyst,1,Divorced,55592,13005,3,No,11,2,4,0,17,4,4,29,7,14,0,0.3054063458723959,0.55
26,No,Frequently,828,Logistics,30,1,Dairy Science,1,46,2,Female,91,1,2,Dairy Quality Analyst,1,Married,76006,9890,1,Yes,20,1,1,1,23,5,2,26,18,12,1,0.2737131624234932,0.55
27,No,Rarely,917,Farm Operations,45,3,Logistics,1,47,4,Male,126,1,4,Packaging Machine Operator,2,Divorced,46269,9077,2,No,18,2,2,0,31,2,1,6,3,5,18,0.7777372828670339,0.4
54,No,Non-Travel,1240,Farm Operations,13,2,Logistics,1,48,4,Male,106,2,2,Cold Storage Supervisor,4,Married,70138,3971,2,Yes,13,3,1,1,33,5,1,24,3,9,0,0.2308059607707257,0.4
33,No,Rarely,473,Quality Control,5,4,Biotechnology,1,49,3,Male,130,4,2,Cold Storage Supervisor,1,Divorced,82398,15568,6,No,11,2,3,2,1,5,4,24,18,14,15,0.6652391029415912,0.4
36,No,Frequently,884,Quality Control,25,4,Food Technology,1,50,3,Male,137,1,1,Dairy Quality Analyst,1,Single,110091,3191,7,No,12,3,1,0,1,4,2,11,8,14,15,0.2311322188875624,0.55
55,No,Frequently,315,Production,20,1,Food Technology,1,51,3,Female,116,3,3,Farm Liaison Officer,1,Divorced,39874,14820,5,No,22,4,2,2,9,1,3,2,16,5,17,0.7505103827452595,0.3
59,No,Rarely,1060,Logistics,18,4,Mechanical Engineering,1,52,4,Female,79,4,3,Cheese Production Technician,4,Divorced,77228,9765,3,No,13,1,2,0,22,5,2,16,17,5,17,0.8388998604756239,0.5
23,No,Non-Travel,892,Logistics,47,4,Dairy Science,1,53,3,Female,62,4,2,Cold Storage Supervisor,1,Single,82670,12254,5,No,24,3,4,1,14,4,3,8,0,3,12,0.540790216084193,0.4
21,No,Frequently,1314,Farm Operations,18,4,Biotechnology,1,54,1,Male,68,4,1,Dairy Lab Technician,3,Single,27925,5046,0,No,23,4,2,1,11,2,4,7,13,4,11,0.763179260708607,0.55
25,No,Frequently,1305,Production,2,4,Dairy Science,1,55,4,Female,56,4,1,Maintenance Engineer,2,Single,23107,13750,9,Yes,19,1,3,1,16,0,4,22,3,9,8,0.6944873729951598,0.6
23,No,Rarely,523,Logistics,10,2,Biotechnology,1,56,2,Male,58,1,1,Packaging Machine Operator,3,Single,106388,14703,7,No,22,4,1,1,17,2,1,5,9,2,4,0.756944704521427,0.4
48,No,Rarely,1160,Production,45,3,Biotechnology,1,57,4,Male,132,2,4,Packaging Machine Operator,4,Married,115719,18688,0,Yes,15,3,4,1,13,3,3,29,13,2,8,0.736742639668192,0.4
37,No,Rarely,313,Production,47,2,Biotechnology,1,58,1,Male,103,4,2,Cheese Production Technician,1,Married,47617,10043,4,No,14,1,4,2,16,2,2,14,6,9,12,0.3437575186171123,0.5
45,No,Frequently,1281,Farm Operations,12,2,Dairy Science,1,59,1,Male,135,3,4,Cold Storage Supervisor,2,Divorced,94258,6908,1,Yes,12,4,2,2,14,1,1,9,11,6,15,0.5496913071083527,0.4
53,No,Rarely,353,Production,47,1,Logistics,1,60,3,Male,131,3,1,Maintenance Engineer,1,Divorced,70075,12627,5,No,19,3,3,0,11,4,4,22,15,4,9,0.87228993098847,0.6
29,No,Frequently,1489,Quality Control,13,4,Dairy Science,1,61,4,Male,110,2,1,Dairy Quality Analyst,4,Divorced,42631,4804,8,No,17,4,4,2,15,5,1,26,4,7,15,0.4404730612070441,0.55
55,Yes,Frequently,514,Quality Control,47,2,Biotechnology,1,62,4,Female,136,1,1,Farm Liaison Officer,2,Married,82444,12176,4,Yes,17,1,3,0,31,3,2,24,10,4,13,0.879340963445945,0.3
33,No,Rarely,1264,Maintenance,11,4,Mechanical Engineering,1,63,4,Female,51,2,3,Cold Storage Supervisor,3,Divorced,117158,5936,3,Yes,16,1,3,0,22,4,2,5,3,11,1,0.6082131980036151,0.4
50,Yes,Frequently,304,Farm Operations,19,2,Food Technology,1,64,2,Female,99,4,2,Cheese Production Technician,2,Divorced,27883,19096,1,No,12,1,1,2,37,4,4,14,12,3,18,0.5231279923660441,0.5
34,No,Rarely,1416,Maintenance,35,2,Biotechnology,1,65,3,Female,124,1,3,Maintenance Engineer,1,Married,39708,11873,2,No,23,3,1,2,33,5,1,29,7,13,10,0.6604302255183414,0.6
27,No,Non-Travel,553,Quality Control,39,1,Mechanical Engineering,1,66,1,Male,80,1,4,Milk Processing Operator,2,Divorced,66221,13390,5,No,24,4,1,0,33,2,3,13,6,2,18,0.7710874198243856,0.45
33,No,Rarely,1215,Maintenance,26,3,Logistics,1,67,1,Male,82,4,3,Maintenance Engineer,4,Married,37197,10366,7,No,10,4,3,2,15,0,3,25,10,11,10,0.4759457083955244,0.6
42,No,Rarely,932,Farm Operations,46,3,Biotechnology,1,68,3,Female,127,3,2,Milk Processing Operator,4,Married,41134,16614,7,Yes,14,3,1,2,33,3,3,18,10,1,13,0.2230679225802465,0.45
59,No,Rarely,908,Farm Operations,14,2,Mechanical Engineering,1,69,1,Female,129,4,3,Dairy Lab Technician,2,Single,53550,8506,4,No,10,1,4,2,39,5,2,12,16,2,14,0.696164408579288,0.55
40,No,Rarely,1479,Production,45,1,Biotechnology,1,70,1,Female,60,2,1,Logistics & Supply Chain Coordinator,4,Single,34642,19458,4,Yes,15,2,4,1,6,1,1,13,13,6,6,0.8693167491481695,0.35
35,No,Frequently,850,Logistics,44,4,Dairy Science,1,71,3,Female,82,4,4,Maintenance Engineer,4,Married,40439,10783,9,No,20,1,2,1,32,1,3,2,1,7,14,0.6374906551934366,0.6
37,No,Frequently,1023,Production,24,4,Mechanical Engineering,1,72,1,Female,56,3,4,Cheese Production Technician,4,Married,117779,13170,2,No,16,2,3,0,3,0,1,3,19,14,7,0.3318901349818313,0.5
43,No,Frequently,1146,Farm Operations,41,2,Dairy Science,1,73,4,Female,80,4,1,Cheese Production Technician,3,Single,44583,16609,6,No,24,1,1,2,6,0,4,25,7,4,3,0.3737697725267772,0.5
45,No,Rarely,860,Quality Control,1,3,Dairy Science,1,74,2,Female,97,2,1,Farm Liaison Officer,1,Divorced,113885,9322,5,No,24,3,4,0,17,2,3,28,1,10,17,0.836825503041962,0.3
44,No,Rarely,298,Quality Control,43,1,Mechanical Engineering,1,75,3,Female,96,2,1,Dairy Quality Analyst,4,Divorced,99538,14174,0,Yes,21,2,3,2,3,1,1,13,14,0,13,0.2094934669231294,0.55
48,No,Rarely,787,Production,22,3,Food Technology,1,76,2,Male,127,3,2,Maintenance Engineer,2,Divorced,82014,18208,3,No,14,3,3,1,10,3,2,13,4,2,17,0.5841226658243922,0.6
34,No,Frequently,481,Farm Operations,23,4,Mechanical Engineering,1,77,1,Male,141,2,3,Logistics & Supply Chain Coordinator,4,Married,39523,4410,5,No,13,2,1,2,19,5,4,25,5,3,3,0.311074351635769,0.35
20,No,Non-Travel,602,Quality Control,19,3,Food Technology,1,78,1,Male,102,2,4,Cold Storage Supervisor,3,Single,90543,15636,5,Yes,11,4,3,2,10,0,4,7,16,9,1,0.3979351046519556,0.4
44,No,Rarely,1332,Farm Operations,18,4,Biotechnology,1,79,4,Male,129,4,3,Cheese Production Technician,2,Divorced,105971,11039,2,Yes,14,2,1,2,14,0,4,9,7,12,5,0.4148871546452821,0.5
26,No,Rarely,899,Quality Control,12,1,Biotechnology,1,80,3,Female,68,1,1,Dairy Lab Technician,1,Single,110629,16990,5,No,18,2,1,1,16,0,4,8,18,12,10,0.3534979234168293,0.55
28,No,Frequently,398,Farm Operations,28,1,Mechanical Engineering,1,81,1,Male,130,2,1,Packaging Machine Operator,2,Single,96830,8441,9,No,13,2,1,1,33,5,2,13,4,11,0,0.754646443894309,0.4
43,No,Non-Travel,526,Maintenance,28,2,Biotechnology,1,82,3,Female,139,2,3,Cheese Production Technician,2,Married,65538,10685,5,No,23,4,3,1,11,3,2,7,18,3,14,0.4325464217851311,0.5
20,No,Frequently,353,Farm Operations,33,2,Logistics,1,83,3,Male,55,3,4,Maintenance Engineer,2,Divorced,67310,15778,8,No,11,3,3,0,27,1,3,10,13,11,11,0.4418394938858766,0.6
27,No,Non-Travel,751,Farm Operations,19,3,Dairy Science,1,84,3,Female,98,3,2,Dairy Lab Technician,2,Single,30908,15191,8,Yes,22,4,1,2,34,3,2,9,9,0,17,0.5171047695854214,0.55
43,No,Rarely,604,Production,28,1,Dairy Science,1,85,3,Female,122,4,3,Packaging Machine Operator,4,Married,77290,11732,1,No,24,2,3,1,7,5,2,17,12,9,4,0.8316067021182958,0.4
30,No,Rarely,661,Maintenance,49,1,Food Technology,1,86,3,Male,99,4,1,Milk Processing Operator,1,Married,73634,5956,3,No,15,1,1,0,26,3,4,3,4,8,10,0.6817211224186781,0.45
36,No,Non-Travel,331,Logistics,37,2,Biotechnology,1,87,2,Male,130,2,1,Logistics & Supply Chain Coordinator,4,Married,32699,8553,8,Yes,17,4,2,1,21,2,2,3,6,11,18,0.2432247929174444,0.35
27,No,Frequently,990,Production,26,4,Food Technology,1,88,4,Female,144,1,2,Cheese Production Technician,3,Divorced,86912,4365,3,No,11,1,3,2,23,5,4,11,9,9,0,0.2274833447256019,0.5
54,No,Rarely,1073,Logistics,35,3,Dairy Science,1,89,3,Female,61,1,3,Maintenance Engineer,3,Divorced,34255,8668,7,Yes,18,4,3,0,1,0,1,17,10,14,16,0.5964724607039178,0.6
54,Yes,Frequently,283,Quality Control,34,3,Dairy Science,1,90,2,Female,72,4,2,Packaging Machine Operator,2,Married,99183,7000,9,Yes,16,4,2,1,30,1,1,28,2,14,7,0.8209423932090454,0.4
52,No,Non-Travel,953,Logistics,35,2,Biotechnology,1,91,1,Male,103,3,2,Packaging Machine Operator,4,Divorced,80282,5675,2,Yes,23,2,2,1,21,2,1,7,12,3,15,0.4262760332004137,0.4
24,No,Frequently,827,Farm Operations,40,1,Logistics,1,92,3,Male,118,2,4,Dairy Quality Analyst,4,Divorced,78249,14907,2,No,22,3,2,0,0,2,1,2,1,1,10,0.3734402802315179,0.55
58,Yes,Frequently,1332,Logistics,16,2,Logistics,1,93,1,Female,149,2,4,Packaging Machine Operator,1,Single,58176,19336,8,No,11,3,1,0,13,5,1,17,3,12,18,0.7237337317191554,0.4
47,No,Rarely,420,Production,38,2,Biotechnology,1,94,3,Male,108,1,1,Logistics & Supply Chain Coordinator,1,Married,28163,17136,9,No,20,2,1,0,24,4,1,6,2,8,10,0.6214639565288792,0.35
26,No,Frequently,752,Production,13,2,Biotechnology,1,95,2,Female,85,4,3,Dairy Lab Technician,1,Married,74210,13155,7,No,14,4,4,0,35,0,1,0,14,13,14,0.5955191396497636,0.55
28,No,Frequently,1370,Logistics,23,2,Food Technology,1,96,2,Male,52,1,4,Dairy Lab Technician,4,Divorced,91979,14219,0,No,14,3,2,0,35,1,4,21,3,3,7,0.3045108394004788,0.55
27,Yes,Non-Travel,311,Production,22,4,Biotechnology,1,97,2,Male,107,1,1,Packaging Machine Operator,1,Married,98860,5247,9,No,16,3,4,1,2,1,4,12,3,3,13,0.3231729230626899,0.4
31,No,Non-Travel,814,Production,16,4,Logistics,1,98,4,Male,137,4,3,Maintenance Engineer,1,Married,41143,6415,1,No,22,3,1,0,4,1,4,28,14,10,0,0.397251443146817,0.6
53,No,Non-Travel,1123,Logistics,28,1,Biotechnology,1,99,1,Male,104,3,1,Cheese Production Technician,1,Married,24920,8472,2,No,24,2,3,0,0,5,4,2,5,5,9,0.3447872542773558,0.5
52,No,Rarely,674,Maintenance,48,2,Food Technology,1,100,4,Male,106,2,4,Maintenance Engineer,2,Divorced,102911,6848,1,No,14,1,2,2,18,0,2,28,4,7,6,0.8800113215325052,0.6
42,No,Frequently,1035,Maintenance,35,4,Food Technology,1,101,3,Female,66,3,1,Farm Liaison Officer,3,Divorced,57996,3037,2,Yes,20,1,3,1,32,5,2,2,11,4,17,0.2130277114493101,0.3
43,No,Frequently,470,Quality Control,45,1,Food Technology,1,102,1,Female,88,4,3,Cheese Production Technician,3,Divorced,31748,17634,7,No,23,1,1,2,29,1,3,14,6,11,11,0.6382394369005269,0.5
56,No,Frequently,620,Production,46,2,Food Technology,1,103,2,Male,139,4,3,Milk Processing Operator,4,Single,114071,10262,5,No,15,1,2,1,11,3,2,20,2,7,1,0.5623191774128068,0.45
54,No,Frequently,906,Logistics,8,3,Mechanical Engineering,1,104,1,Female,117,2,1,Logistics & Supply Chain Coordinator,4,Married,101251,13066,6,No,23,1,4,1,9,3,4,29,6,0,17,0.4262758651289053,0.35
59,No,Non-Travel,239,Production,44,4,Biotechnology,1,105,2,Female,104,3,3,Maintenance Engineer,2,Single,67252,17554,9,Yes,18,3,4,1,33,0,4,18,11,12,6,0.8213120984727826,0.6
41,Yes,Rarely,388,Farm Operations,22,1,Dairy Science,1,106,4,Male,94,2,1,Dairy Quality Analyst,3,Divorced,83179,9008,9,Yes,12,3,1,0,15,1,1,27,14,3,19,0.6691138042774976,0.55
46,No,Frequently,1387,Production,21,3,Biotechnology,1,107,4,Female,125,1,3,Dairy Lab Technician,1,Single,26450,17263,5,No,12,4,3,2,39,5,1,3,18,0,11,0.8988480459262584,0.55
54,No,Rarely,1193,Production,26,2,Mechanical Engineering,1,108,2,Male,50,1,1,Packaging Machine Operator,1,Married,72756,18238,0,Yes,17,3,1,1,28,4,3,12,5,2,19,0.3180591715285397,0.4
20,No,Rarely,735,Maintenance,40,2,Food Technology,1,109,2,Female,70,1,1,Cheese Production Technician,4,Married,70235,7642,2,Yes,19,2,3,1,14,4,2,12,7,10,13,0.2615074851074801,0.5
54,No,Frequently,1227,Logistics,21,2,Mechanical Engineering,1,110,3,Female,132,3,1,Packaging Machine Operator,3,Divorced,110546,18489,0,No,21,4,1,1,10,4,4,14,5,6,9,0.2975780872264407,0.4
56,No,Frequently,489,Production,25,4,Logistics,1,111,4,Female,70,1,2,Milk Processing Operator,4,Divorced,20020,19153,9,No,15,3,4,2,33,3,2,18,2,0,8,0.3885036773092173,0.45
33,No,Rarely,632,Maintenance,41,1,Logistics,1,112,4,Female,101,2,3,Farm Liaison Officer,4,Single,100253,16531,8,No,21,4,3,1,35,5,3,15,4,4,14,0.4917508940975692,0.3
22,No,Rarely,670,Quality Control,1,3,Biotechnology,1,113,3,Female,131,3,4,Packaging Machine Operator,1,Divorced,29664,12384,8,No,19,4,1,2,29,4,1,6,8,0,19,0.80382229950136,0.4
20,No,Frequently,1404,Maintenance,6,1,Biotechnology,1,114,4,Female,92,2,1,Maintenance Engineer,1,Single,86635,18336,4,Yes,12,1,2,2,34,1,4,2,15,5,9,0.3985142364302206,0.6
24,Yes,Rarely,1471,Maintenance,23,4,Dairy Science,1,115,2,Female,101,4,2,Cheese Production Technician,3,Married,43225,15661,3,No,11,4,4,0,8,1,1,29,15,8,18,0.8406703170193774,0.5
45,No,Rarely,827,Maintenance,23,1,Dairy Science,1,116,1,Male,116,3,4,Dairy Quality Analyst,4,Married,88173,13687,8,Yes,22,3,4,1,17,4,4,25,8,2,18,0.5240353818833017,0.55
33,No,Rarely,478,Production,43,4,Logistics,1,117,1,Male,93,2,1,Milk Processing Operator,2,Married,105333,15404,8,No,11,1,2,1,18,2,1,19,17,10,11,0.6529490129772878,0.45
58,No,Rarely,1076,Production,43,2,Food Technology,1,118,4,Male,81,2,4,Logistics & Supply Chain Coordinator,3,Married,60225,6355,2,No,11,3,1,2,38,4,1,1,12,10,11,0.3850853998391655,0.35
46,No,Rarely,780,Quality Control,23,3,Mechanical Engineering,1,119,3,Male,59,3,2,Farm Liaison Officer,4,Married,30807,2933,4,No,24,1,3,2,3,2,3,17,10,13,8,0.3092096712164766,0.3
28,No,Rarely,1062,Farm Operations,32,2,Dairy Science,1,120,2,Female,113,4,4,Maintenance Engineer,3,Single,103274,10766,2,No,14,3,4,0,5,0,2,24,9,11,19,0.8086198584606343,0.6
34,No,Rarely,453,Farm Operations,30,1,Dairy Science,1,121,1,Female,128,3,1,Logistics & Supply Chain Coordinator,3,Married,26402,7906,9,No,24,1,1,1,32,0,1,10,9,14,3,0.2766543263641147,0.35
34,No,Non-Travel,380,Farm Operations,13,2,Food Technology,1,122,2,Female,118,1,4,Dairy Quality Analyst,3,Single,24521,14572,1,Yes,21,1,2,2,31,1,4,0,5,5,0,0.7418149140369159,0.55
45,No,Frequently,880,Quality Control,43,3,Food Technology,1,123,4,Male,117,1,4,Logistics & Supply Chain Coordinator,2,Married,83165,14279,0,No,14,2,3,1,15,5,2,15,15,3,15,0.6066890142538002,0.35
32,No,Frequently,1024,Farm Operations,18,2,Biotechnology,1,124,4,Male,77,4,1,Dairy Lab Technician,2,Single,28382,12723,9,No,10,3,1,1,10,3,2,16,11,5,0,0.8027964471751943,0.55
51,No,Rarely,899,Farm Operations,23,3,Mechanical Engineering,1,125,1,Male,102,2,2,Cheese Production Technician,1,Single,35065,12611,1,No,11,4,1,1,21,5,1,15,3,1,12,0.7024728884687239,0.5
58,No,Rarely,765,Maintenance,15,3,Food Technology,1,126,4,Female,100,2,2,Logistics & Supply Chain Coordinator,1,Single,105470,10261,7,No,11,1,4,2,35,1,1,9,4,3,2,0.3971648714780793,0.35
